ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
MU260702P00185000,MU,185.0,2026-07-02,put,0.03,141.0,349.0,1134.17,3,4.3365,-0.0002,1e-06,-0.0339,0.0009,-0.0,2026-06-29T19:45:39.279152Z,2026-06-29T19:46:01.424672Z,False,-190.5220561524
MU260702P00190000,MU,190.0,2026-07-02,put,0.06,84.0,252.0,1136.07,3,4.9605,-0.0009,4e-06,-0.1812,0.0044,-0.0002,2026-06-29T18:53:12.189000Z,2026-06-29T18:53:16.058548Z,False,-454.0100061504
MU260702P00195000,MU,195.0,2026-07-02,put,0.04,2.0,18.0,1093.05,1,4.3012,-0.0002,1e-06,-0.0436,0.0012,-0.0,2026-07-01T13:51:49.782908Z,2026-07-01T13:52:03.410276Z,False,-2.7024405128
MU260702C00200000,MU,200.0,2026-07-02,call,978.63,10.0,978630.0,1178.47,6,3.9164,0.9999,1e-06,-0.0399,0.0005,0.0328,2026-06-26T17:24:16.172937Z,2026-06-26T17:24:27.452007Z,True,-13.512202564000003
MU260702P00200000,MU,200.0,2026-07-02,put,0.01,2.0,2.0,1147.12,2,3.9721,-0.0001,1e-06,-0.0236,0.0007,-0.0,2026-06-30T14:16:52.254095Z,2026-06-30T14:17:19.400049Z,False,-2.7024405128
MU260702P00205000,MU,205.0,2026-07-02,put,0.01,4.0,33.0,1055.0,1,4.0914,-0.0002,1e-06,-0.0339,0.001,-0.0,2026-07-01T14:47:04.958640Z,2026-07-01T14:47:18.449110Z,False,-5.4048810256
MU260702P00210000,MU,210.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.0704,-0.0002,1e-06,-0.034,0.001,-0.0,2026-07-01T14:47:05.283990Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00215000,MU,215.0,2026-07-02,put,0.01,58.0,256.0,1136.79,3,4.8743,-0.0001,1e-06,-0.0253,0.0003,-0.0,2026-06-29T19:42:05.726610Z,2026-06-29T19:42:27.555717Z,False,-78.3707748712
MU260702P00220000,MU,220.0,2026-07-02,put,0.01,4.0,33.0,1055.0,1,4.2906,-0.0005,3e-06,-0.0882,0.0025,-0.0001,2026-07-01T14:47:04.799471Z,2026-07-01T14:47:18.449110Z,False,-16.2146430768
MU260702P00225000,MU,225.0,2026-07-02,put,0.01,26.0,26.0,1128.69,3,4.9896,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-06-29T19:55:49.314401Z,2026-06-29T19:56:17.608739Z,False,-35.1317266664
MU260702P00230000,MU,230.0,2026-07-02,put,0.04,2.0,18.0,1093.05,1,4.9079,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-07-01T13:51:47.863074Z,2026-07-01T13:52:03.410276Z,False,-2.7024405128
MU260702P00235000,MU,235.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.6009,-0.0001,1e-06,-0.0253,0.0003,-0.0,2026-07-01T14:47:05.824161Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00240000,MU,240.0,2026-07-02,put,0.07,17.0,119.0,1136.79,3,3.8047,-0.0002,2e-06,-0.0436,0.0014,-0.0001,2026-06-29T19:42:04.580291Z,2026-06-29T19:42:27.555717Z,False,-45.941488717599995
MU260702P00245000,MU,245.0,2026-07-02,put,0.1,3.0,27.0,1083.39,1,4.9723,-0.0001,1e-06,-0.0473,0.0006,-0.0,2026-07-01T14:19:27.165710Z,2026-07-01T14:19:57.005028Z,False,-4.0536607692
MU260702P00250000,MU,250.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.6673,-0.0001,1e-06,-0.0256,0.0003,-0.0,2026-07-01T14:47:05.153842Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702P00255000,MU,255.0,2026-07-02,put,0.01,12.0,60.0,1044.24,1,4.8344,-0.0001,1e-06,-0.0472,0.0006,-0.0,2026-07-01T18:58:38.192658Z,2026-07-01T18:59:06.930490Z,False,-16.2146430768
MU260702P00260000,MU,260.0,2026-07-02,put,0.07,36.0,191.0,1131.32,3,4.5434,-0.0001,1e-06,-0.0255,0.0003,-0.0,2026-06-29T19:44:34.609202Z,2026-06-29T19:45:00.699141Z,False,-48.6439292304
MU260702P00265000,MU,265.0,2026-07-02,put,0.07,7.0,49.0,1120.31,3,3.8687,-0.0007,4e-06,-0.1125,0.0035,-0.0001,2026-06-29T18:06:07.553991Z,2026-06-29T18:06:13.674234Z,False,-37.8341671792
MU260702P00270000,MU,270.0,2026-07-02,put,0.04,2.0,18.0,1093.05,1,4.679,-0.0002,2e-06,-0.0671,0.0009,-0.0,2026-07-01T13:51:46.579608Z,2026-07-01T13:52:03.410276Z,False,-5.4048810256
MU260702P00275000,MU,275.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.834,-0.0003,2e-06,-0.0867,0.0011,-0.0,2026-07-01T14:47:05.299289Z,2026-07-01T14:47:18.449110Z,False,-5.4048810256
MU260702P00280000,MU,280.0,2026-07-02,put,0.07,51.0,360.0,1131.32,3,4.9922,-0.0005,3e-06,-0.141,0.0017,-0.0,2026-06-29T19:44:35.358369Z,2026-06-29T19:45:00.699141Z,False,-206.7366992292
MU260702P00285000,MU,285.0,2026-07-02,put,0.01,8.0,40.0,1083.78,1,4.6232,-0.0002,2e-06,-0.0674,0.0009,-0.0,2026-07-01T14:20:41.489656Z,2026-07-01T14:20:57.928648Z,False,-21.6195241024
MU260702P00290000,MU,290.0,2026-07-02,put,0.01,33.0,80.0,1076.91,1,4.8794,-0.0005,3e-06,-0.141,0.0017,-0.0,2026-07-01T14:28:08.026142Z,2026-07-01T14:28:11.957767Z,False,-133.77080538360002
MU260702P00295000,MU,295.0,2026-07-02,put,0.01,136.0,336.0,1134.65,3,4.1775,-0.0001,1e-06,-0.0255,0.0004,-0.0,2026-06-29T19:57:51.205216Z,2026-06-29T19:58:19.194764Z,False,-183.76595487039998
MU260702P00300000,MU,300.0,2026-07-02,put,0.01,52.0,102.0,1040.46,1,4.1372,-0.0001,1e-06,-0.0255,0.0004,-0.0,2026-07-01T18:54:29.379949Z,2026-07-01T18:55:00.777690Z,False,-70.2634533328
MU260702P00305000,MU,305.0,2026-07-02,put,0.02,669.0,1263.0,1134.97,3,4.2737,-0.0002,1e-06,-0.0471,0.0007,-0.0,2026-06-29T19:56:31.415542Z,2026-06-29T19:56:47.846073Z,False,-903.9663515316001
MU260702C00310000,MU,310.0,2026-07-02,call,855.06,3.0,256222.0,1165.72,6,3.7228,0.9937,2.4e-05,-0.6914,0.0352,0.0823,2026-06-26T14:55:30.101517Z,2026-06-26T14:55:33.549769Z,True,-97.2878584608
MU260702P00310000,MU,310.0,2026-07-02,put,0.02,628.0,1644.0,1139.01,3,4.2322,-0.0002,1e-06,-0.0471,0.0007,-0.0,2026-06-29T19:59:07.754302Z,2026-06-29T19:59:19.946248Z,False,-848.5663210192
MU260702C00315000,MU,315.0,2026-07-02,call,727.28,1.0,72728.0,1038.0,8,4.2708,0.9862,5.4e-05,-1.4799,0.0541,0.065,2026-06-24T19:59:39.768826Z,2026-06-24T19:59:58.639768Z,True,-72.9658938456
MU260702P00315000,MU,315.0,2026-07-02,put,0.01,2.0,15.0,1055.0,1,4.8952,-0.0001,1e-06,-0.0382,0.0003,-0.0,2026-07-01T14:47:05.763466Z,2026-07-01T14:47:18.449110Z,False,-2.7024405128
MU260702C00320000,MU,320.0,2026-07-02,call,835.49,2.0,168925.0,1155.33,6,4.9966,0.9905,3.4e-05,-1.6288,0.0382,0.0502,2026-06-26T15:13:37.111420Z,2026-06-26T15:14:03.332358Z,True,-91.88297743519999
MU260702P00320000,MU,320.0,2026-07-02,put,0.01,4.0,4.0,1147.2,2,4.8506,-0.0001,1e-06,-0.0382,0.0003,-0.0,2026-06-30T15:08:12.585904Z,2026-06-30T15:08:31.358937Z,False,-5.4048810256
MU260702P00325000,MU,325.0,2026-07-02,put,0.03,131.0,398.0,1136.79,3,4.1982,-0.0002,2e-06,-0.0672,0.001,-0.0,2026-06-29T19:42:06.332510Z,2026-06-29T19:42:27.555717Z,False,-354.0197071768
MU260702P00330000,MU,330.0,2026-07-02,put,0.01,61.0,306.0,1152.73,2,4.7527,-0.0001,1e-06,-0.0382,0.0003,-0.0,2026-06-30T16:49:20.164538Z,2026-06-30T16:49:45.241948Z,False,-82.4244356404
MU260702C00335000,MU,335.0,2026-07-02,call,738.0,1.0,73800.0,1066.95,1,4.3537,0.9939,2.7e-05,-0.9752,0.0258,0.0536,2026-07-01T13:34:43.872738Z,2026-07-01T13:35:15.380692Z,True,-36.4829469228
MU260702P00335000,MU,335.0,2026-07-02,put,0.01,22.0,112.0,1140.6,2,4.6608,-0.0001,1e-06,-0.0382,0.0003,-0.0,2026-06-30T13:35:21.143131Z,2026-06-30T13:35:48.558115Z,False,-29.726845640800004
MU260702C00340000,MU,340.0,2026-07-02,call,737.16,1.0,73716.0,1083.8,1,3.9336,0.9958,1.8e-05,-0.6332,0.0211,0.064,2026-07-01T13:30:59.838514Z,2026-07-01T13:31:31.428465Z,True,-24.3219646152
MU260702P00340000,MU,340.0,2026-07-02,put,0.01,21.0,21.0,1136.56,2,4.5937,-0.0001,1e-06,-0.0381,0.0003,-0.0,2026-06-30T13:49:47.636750Z,2026-06-30T13:49:48.640619Z,False,-28.3756253844
MU260702P00345000,MU,345.0,2026-07-02,put,0.01,9.0,137.0,1053.09,1,4.7714,-0.0002,2e-06,-0.0705,0.0006,-0.0,2026-07-01T19:41:47.644734Z,2026-07-01T19:42:05.209591Z,False,-24.3219646152
MU260702P00350000,MU,350.0,2026-07-02,put,0.01,10.0,10.0,1045.2,1,4.5575,-0.0001,1e-06,-0.0382,0.0003,-0.0,2026-07-01T17:06:51.587444Z,2026-07-01T17:07:12.482782Z,False,-13.512202564000003
MU260702C00355000,MU,355.0,2026-07-02,call,855.19,1.0,85519.0,1208.04,7,4.0593,0.9931,2.8e-05,-0.9789,0.0323,0.0661,2026-06-25T19:44:17.216657Z,2026-06-25T19:44:44.673858Z,True,-37.8341671792
MU260702P00355000,MU,355.0,2026-07-02,put,0.01,4.0,10.0,1073.21,1,4.4456,-0.0001,1e-06,-0.0381,0.0003,-0.0,2026-07-01T14:29:35.736058Z,2026-07-01T14:29:44.560206Z,False,-5.4048810256
MU260702C00360000,MU,360.0,2026-07-02,call,852.5,2.0,163270.0,1209.93,7,4.1383,0.9919,3.2e-05,-1.1433,0.0372,0.0667,2026-06-25T16:40:07.378868Z,2026-06-25T16:40:23.766961Z,True,-86.4780964096
MU260702P00360000,MU,360.0,2026-07-02,put,0.01,7.0,19.0,1140.43,2,4.3932,-0.0001,1e-06,-0.0381,0.0003,-0.0,2026-06-30T13:34:23.823970Z,2026-06-30T13:34:44.418167Z,False,-9.4585417948
MU260702C00365000,MU,365.0,2026-07-02,call,823.41,4.0,330366.0,1188.06,10,2.8711,0.9968,1.7e-05,-0.3172,0.019,0.0987,2026-06-22T16:43:41.168479Z,2026-06-22T16:43:59.196912Z,True,-91.88297743519999
MU260702P00365000,MU,365.0,2026-07-02,put,0.11,1.0,11.0,1077.69,1,4.3684,-0.0001,1e-06,-0.0381,0.0003,-0.0,2026-07-01T14:08:21.501699Z,2026-07-01T14:08:31.052510Z,False,-1.3512202564
MU260702C00370000,MU,370.0,2026-07-02,call,790.9,1.0,79090.0,1159.21,6,3.9784,0.9937,3e-05,-0.9183,0.0264,0.0593,2026-06-26T18:00:18.718993Z,2026-06-26T18:00:34.287899Z,True,-40.536607692000004
MU260702P00370000,MU,370.0,2026-07-02,put,0.03,106.0,905.0,1074.1,3,3.6057,-0.0003,3e-06,-0.0662,0.0011,-0.0,2026-06-29T15:08:18.437049Z,2026-06-29T15:08:36.519926Z,False,-429.68804153520006
MU260702C00375000,MU,375.0,2026-07-02,call,724.5,1.0,72450.0,1096.24,9,3.4201,0.9883,5.2e-05,-1.0409,0.0525,0.0885,2026-06-23T14:01:03.688023Z,2026-06-23T14:01:25.193056Z,True,-70.2634533328
MU260702P00375000,MU,375.0,2026-07-02,put,0.03,91.0,232.0,1120.53,3,3.6885,-0.0003,3e-06,-0.0667,0.0011,-0.0,2026-06-29T18:32:17.117756Z,2026-06-29T18:32:17.326483Z,False,-368.8831299972
MU260702C00380000,MU,380.0,2026-07-02,call,734.3,1.0,73430.0,1110.31,3,2.7121,0.9971,2.1e-05,-0.2855,0.0141,0.0824,2026-06-29T13:34:27.449479Z,2026-06-29T13:34:37.575136Z,True,-28.3756253844
MU260702P00380000,MU,380.0,2026-07-02,put,0.01,2.0,2.0,1056.43,1,3.467,-0.0003,4e-06,-0.0659,0.0011,-0.0,2026-07-01T19:11:29.312635Z,2026-07-01T19:11:57.347795Z,False,-10.8097620512
MU260702C00385000,MU,385.0,2026-07-02,call,711.24,3.0,213986.0,1095.01,9,2.7977,0.9954,2.8e-05,-0.4083,0.0233,0.0934,2026-06-23T14:33:05.006094Z,2026-06-23T14:33:17.929801Z,True,-113.5025015376
MU260702P00385000,MU,385.0,2026-07-02,put,0.11,1.0,11.0,1093.05,1,3.5023,-0.0004,5e-06,-0.0847,0.0015,-0.0,2026-07-01T13:52:13.220027Z,2026-07-01T13:52:34.387576Z,False,-6.756101282000001
MU260702C00390000,MU,390.0,2026-07-02,call,663.0,2.0,132600.0,1053.49,1,3.4415,0.9964,2.1e-05,-0.5044,0.0159,0.0633,2026-07-01T19:12:46.108695Z,2026-07-01T19:12:57.971567Z,True,-56.7512507688
MU260702P00390000,MU,390.0,2026-07-02,put,0.01,2.0,2.0,1065.78,1,4.1188,-0.0001,1e-06,-0.038,0.0004,-0.0,2026-07-01T14:34:19.937161Z,2026-07-01T14:34:23.488735Z,False,-2.7024405128
MU260702C00395000,MU,395.0,2026-07-02,call,742.65,1.0,74265.0,1127.55,6,3.0191,0.9919,4.2e-05,-0.6888,0.0382,0.0947,2026-06-26T13:34:37.543996Z,2026-06-26T13:34:57.045975Z,True,-56.7512507688
MU260702P00395000,MU,395.0,2026-07-02,put,0.04,79.0,280.0,1053.63,3,3.4091,-0.0004,5e-06,-0.0845,0.0015,-0.0,2026-06-29T14:41:17.259370Z,2026-06-29T14:41:28.036495Z,False,-533.732001278
MU260702C00400000,MU,400.0,2026-07-02,call,643.64,27.0,1844766.0,1043.53,1,3.7238,0.9924,3.9e-05,-0.9945,0.0305,0.064,2026-07-01T18:15:38.136926Z,2026-07-01T18:15:42.452691Z,True,-1422.8349299892
MU260702P00400000,MU,400.0,2026-07-02,put,0.01,5.0,5.0,1057.38,1,4.0759,-0.0001,1e-06,-0.038,0.0004,-0.0,2026-07-01T17:22:57.022410Z,2026-07-01T17:22:58.664076Z,False,-6.756101282000001
MU260702P00405000,MU,405.0,2026-07-02,put,0.01,12.0,12.0,1148.64,2,3.9813,-0.0001,1e-06,-0.0379,0.0004,-0.0,2026-06-30T14:38:20.586351Z,2026-06-30T14:38:50.189653Z,False,-16.2146430768
MU260702C00410000,MU,410.0,2026-07-02,call,674.22,8.0,539148.0,1083.39,1,2.5788,0.9995,5e-06,-0.1086,0.0027,0.0672,2026-07-01T13:44:59.375397Z,2026-07-01T13:45:16.552086Z,True,-54.04881025600001
MU260702P00410000,MU,410.0,2026-07-02,put,0.01,13.0,13.0,1084.07,1,3.9273,-0.0001,1e-06,-0.0379,0.0004,-0.0,2026-07-01T13:55:42.518231Z,2026-07-01T13:56:11.568636Z,False,-17.5658633332
MU260702P00415000,MU,415.0,2026-07-02,put,0.01,14.0,56.0,1071.12,1,4.0838,-0.0002,2e-06,-0.07,0.0007,-0.0,2026-07-01T14:31:52.380355Z,2026-07-01T14:32:19.264656Z,False,-37.8341671792
MU260702C00420000,MU,420.0,2026-07-02,call,632.62,3.0,189466.0,1054.5,1,3.4737,0.9947,2.9e-05,-0.7193,0.0231,0.0678,2026-07-01T17:28:19.223358Z,2026-07-01T17:28:37.664560Z,True,-117.5561623068
MU260702P00420000,MU,420.0,2026-07-02,put,0.01,13.0,13.0,1050.63,1,4.1513,-0.0003,3e-06,-0.0999,0.001,-0.0,2026-07-01T16:01:45.119291Z,2026-07-01T16:02:14.829069Z,False,-52.697589999600005
MU260702P00425000,MU,425.0,2026-07-02,put,0.01,33.0,33.0,1044.76,1,4.9123,-0.0001,2e-06,-0.0745,0.0003,-0.0,2026-07-01T19:53:17.266616Z,2026-07-01T19:53:21.442286Z,False,-89.1805369224
MU260702C00430000,MU,430.0,2026-07-02,call,703.25,1.0,70325.0,1142.22,2,3.4528,0.9931,3.8e-05,-0.8751,0.0286,0.0691,2026-06-30T13:30:54.614870Z,2026-06-30T13:31:01.281321Z,True,-51.346369743200015
MU260702P00430000,MU,430.0,2026-07-02,put,0.01,39.0,124.0,1165.0,2,3.8084,-0.0001,1e-06,-0.0379,0.0004,-0.0,2026-06-30T19:12:15.704657Z,2026-06-30T19:12:17.968880Z,False,-52.697589999600005
MU260702C00435000,MU,435.0,2026-07-02,call,743.9,1.0,74390.0,1171.39,6,4.526,0.9772,8e-05,-3.1168,0.0813,0.0659,2026-06-26T14:00:17.418895Z,2026-06-26T14:00:29.638874Z,True,-108.09762051200002
MU260702P00435000,MU,435.0,2026-07-02,put,0.01,48.0,100.0,1142.5,2,3.6983,-0.0001,2e-06,-0.0378,0.0004,-0.0,2026-06-30T14:10:14.098495Z,2026-06-30T14:10:35.045526Z,False,-129.7171446144
MU260702C00440000,MU,440.0,2026-07-02,call,689.04,1.0,68904.0,1131.64,6,2.6611,0.9909,6.1e-05,-0.6778,0.0376,0.094,2026-06-26T20:00:19.740912Z,2026-06-26T20:00:23.225359Z,True,-82.4244356404
MU260702P00440000,MU,440.0,2026-07-02,put,0.01,25.0,25.0,1053.46,1,4.7707,-0.0001,2e-06,-0.0744,0.0003,-0.0,2026-07-01T15:46:45.125873Z,2026-07-01T15:46:55.786740Z,False,-67.56101282
MU260702C00445000,MU,445.0,2026-07-02,call,715.3,2.0,141715.0,1158.61,6,3.3507,0.9927,4e-05,-0.8887,0.0299,0.0715,2026-06-26T18:03:52.356702Z,2026-06-26T18:04:08.039793Z,True,-108.09762051200002
MU260702P00445000,MU,445.0,2026-07-02,put,0.01,53.0,53.0,1053.09,1,4.7095,-0.0001,2e-06,-0.0744,0.0003,-0.0,2026-07-01T19:42:08.218569Z,2026-07-01T19:42:36.257912Z,False,-143.22934717840002
MU260702C00450000,MU,450.0,2026-07-02,call,603.0,2.0,120450.0,1052.92,1,4.9553,0.9997,4e-06,-0.2194,0.0007,0.0123,2026-07-01T16:51:41.937886Z,2026-07-01T16:51:49.388819Z,True,-10.8097620512
MU260702P00450000,MU,450.0,2026-07-02,put,0.01,15.0,15.0,1044.86,1,4.6119,-0.0002,2e-06,-0.0742,0.0003,-0.0,2026-07-01T17:11:47.843938Z,2026-07-01T17:11:47.964673Z,False,-40.536607692
MU260702C00455000,MU,455.0,2026-07-02,call,694.45,1.0,69445.0,1136.03,6,4.818,0.9634,0.000114,-4.7389,0.1168,0.0657,2026-06-26T13:35:40.056425Z,2026-06-26T13:36:02.385472Z,True,-154.03910922960003
MU260702P00455000,MU,455.0,2026-07-02,put,0.01,8.0,13.0,1051.07,1,4.5831,-0.0002,2e-06,-0.0742,0.0003,-0.0,2026-07-01T16:38:53.185380Z,2026-07-01T16:39:05.262678Z,False,-21.6195241024
MU260702C00460000,MU,460.0,2026-07-02,call,605.76,1.0,60576.0,1065.79,1,3.3139,0.9914,4.7e-05,-1.0073,0.0345,0.0737,2026-07-01T14:40:31.799704Z,2026-07-01T14:40:36.008908Z,True,-63.507352050799994
MU260702P00460000,MU,460.0,2026-07-02,put,0.01,20.0,30.0,1044.4,1,4.494,-0.0002,2e-06,-0.0741,0.0003,-0.0,2026-07-01T18:24:01.690529Z,2026-07-01T18:24:19.324905Z,False,-54.04881025600001
MU260702P00465000,MU,465.0,2026-07-02,put,0.01,10.0,15.0,1054.0,1,4.4824,-0.0002,2e-06,-0.0741,0.0003,-0.0,2026-07-01T17:01:20.242313Z,2026-07-01T17:01:34.870749Z,False,-27.024405128000005
MU260702C00470000,MU,470.0,2026-07-02,call,588.28,2.0,117481.0,1057.59,1,2.2733,0.9995,6e-06,-0.1118,0.0029,0.0771,2026-07-01T15:05:28.246514Z,2026-07-01T15:05:47.946251Z,True,-16.2146430768
MU260702P00470000,MU,470.0,2026-07-02,put,0.02,36.0,69.0,1057.38,1,4.6636,-0.0003,4e-06,-0.1367,0.0006,-0.0,2026-07-01T17:23:18.092958Z,2026-07-01T17:23:30.501600Z,False,-194.5757169216
MU260702C00475000,MU,475.00000000000006,2026-07-02,call,676.1,1.0,67610.0,1148.13,7,3.1602,0.9874,6.5e-05,-1.2281,0.0519,0.0877,2026-06-25T14:27:56.755522Z,2026-06-25T14:28:21.830773Z,True,-87.829316666
MU260702P00475000,MU,475.00000000000006,2026-07-02,put,0.01,29.0,84.0,1054.0,1,4.3704,-0.0002,3e-06,-0.074,0.0003,-0.0,2026-07-01T17:01:53.164245Z,2026-07-01T17:02:05.077970Z,False,-117.5561623068
MU260702C00480000,MU,480.0,2026-07-02,call,576.08,3.0,174526.0,1056.44,1,3.0496,0.9925,4.6e-05,-0.8329,0.0305,0.0772,2026-07-01T19:15:05.442769Z,2026-07-01T19:15:30.614087Z,True,-186.4683953832
MU260702P00480000,MU,480.0,2026-07-02,put,0.02,104.0,359.0,1048.64,1,4.5047,-0.0003,4e-06,-0.1362,0.0006,-0.0,2026-07-01T19:45:43.215145Z,2026-07-01T19:46:11.007505Z,False,-562.1076266624
