timestamp,equity,cash,positions_value
2025-01-02,1000000.0,1000000.0,0.0
2025-01-03,1000000.0,1000000.0,0.0
2025-01-06,1000000.0,1000000.0,0.0
2025-01-07,1000000.0,1000000.0,0.0
2025-01-08,1000000.0,1000000.0,0.0
2025-01-10,1000000.0,1000000.0,0.0
2025-01-13,1000000.0,1000000.0,0.0
2025-01-14,1000000.0,1000000.0,0.0
2025-01-15,1000000.0,1000000.0,0.0
2025-01-16,1000000.0,1000000.0,0.0
2025-01-17,1000000.0,1000000.0,0.0
2025-01-21,1000000.0,1000000.0,0.0
2025-01-22,1000000.0,1000000.0,0.0
2025-01-23,1000000.0,1000000.0,0.0
2025-01-24,1000000.0,1000000.0,0.0
2025-01-27,1000000.0,1000000.0,0.0
2025-01-28,1000000.0,1000000.0,0.0
2025-01-29,1000000.0,1000000.0,0.0
2025-01-30,1000000.0,1000000.0,0.0
2025-01-31,1000000.0,1000000.0,0.0
2025-02-03,1000000.0,1000000.0,0.0
2025-02-04,1000000.0,1000000.0,0.0
2025-02-05,1000000.0,1000000.0,0.0
2025-02-06,1000000.0,1000000.0,0.0
2025-02-07,1000000.0,1000000.0,0.0
2025-02-10,1000000.0,1000000.0,0.0
2025-02-11,1000000.0,1000000.0,0.0
2025-02-12,1000000.0,1000000.0,0.0
2025-02-13,1000000.0,1000000.0,0.0
2025-02-14,1000000.0,1000000.0,0.0
2025-02-18,1000000.0,1000000.0,0.0
2025-02-19,1000000.0,1000000.0,0.0
2025-02-20,1000000.0,1000000.0,0.0
2025-02-21,1000000.0,1000000.0,0.0
2025-02-24,1000000.0,1000000.0,0.0
2025-02-25,1000000.0,1000000.0,0.0
2025-02-26,1000000.0,1000000.0,0.0
2025-02-27,1000000.0,1000000.0,0.0
2025-02-28,1000000.0,1000000.0,0.0
2025-03-03,1000000.0,1000000.0,0.0
2025-03-04,1000000.0,1000000.0,0.0
2025-03-05,1000000.0,1000000.0,0.0
2025-03-06,1000000.0,1000000.0,0.0
2025-03-07,1000000.0,1000000.0,0.0
2025-03-10,1000000.0,1000000.0,0.0
2025-03-11,1000000.0,1000000.0,0.0
2025-03-12,1000000.0,1000000.0,0.0
2025-03-13,1000000.0,1000000.0,0.0
2025-03-14,1000000.0,1000000.0,0.0
2025-03-17,1000000.0,1000000.0,0.0
2025-03-18,1000000.0,1000000.0,0.0
2025-03-19,1000000.0,1000000.0,0.0
2025-03-20,1000000.0,1000000.0,0.0
2025-03-21,1000000.0,1000000.0,0.0
2025-03-24,1000000.0,1000000.0,0.0
2025-03-25,1000000.0,1000000.0,0.0
2025-03-26,1000000.0,1000000.0,0.0
2025-03-27,1000000.0,1000000.0,0.0
2025-03-28,1000000.0,1000000.0,0.0
2025-03-31,1000000.0,1000000.0,0.0
2025-04-01,1000000.0,1000000.0,0.0
2025-04-02,1000000.0,1000000.0,0.0
2025-04-03,1000000.0,1000000.0,0.0
2025-04-04,1000000.0,1000000.0,0.0
2025-04-07,1000000.0,1000000.0,0.0
2025-04-08,1000000.0,1000000.0,0.0
2025-04-09,1000000.0,1000000.0,0.0
2025-04-10,1000000.0,1000000.0,0.0
2025-04-11,1000000.0,1000000.0,0.0
2025-04-14,1000000.0,1000000.0,0.0
2025-04-15,1000000.0,1000000.0,0.0
2025-04-16,1000000.0,1000000.0,0.0
2025-04-17,1000000.0,1000000.0,0.0
2025-04-21,1000000.0,1000000.0,0.0
2025-04-22,1000000.0,1000000.0,0.0
2025-04-23,1000000.0,1000000.0,0.0
2025-04-24,1000000.0,1000000.0,0.0
2025-04-25,1000000.0,1000000.0,0.0
2025-04-28,1000000.0,1000000.0,0.0
2025-04-29,1000000.0,1000000.0,0.0
2025-04-30,1000000.0,1000000.0,0.0
2025-05-01,1000000.0,1000000.0,0.0
2025-05-02,1000000.0,1000000.0,0.0
2025-05-05,1000000.0,1000000.0,0.0
2025-05-06,999967.9418,967909.7409,32058.2009
2025-05-07,997566.0754,997566.0754,0.0
2025-05-08,997566.0754,997566.0754,0.0
