Date,qqq_htf_green,qqq_above_sma20,qqq_ret5_pos,mag7_breadth,mag7_breadth_ge4,mag7_breadth_ge5,mag7_frac,gate_qqq_green,gate_qqq_trend,gate_mag7_majority,gate_qqq_and_mag7,gate_full
2024-07-01,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-02,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-03,True,False,False,0,False,False,0.0,True,False,False,False,False
2024-07-05,True,False,False,0,False,False,0.0,True,False,False,False,False
2024-07-08,True,False,False,0,False,False,0.0,True,False,False,False,False
2024-07-09,True,False,False,0,False,False,0.0,True,False,False,False,False
2024-07-10,True,False,True,0,False,False,0.0,True,False,False,False,False
2024-07-11,True,False,True,0,False,False,0.0,True,False,False,False,False
2024-07-12,False,False,True,0,False,False,0.0,False,False,False,False,False
2024-07-15,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-16,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-17,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-18,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-19,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-22,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-23,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-24,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-25,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-26,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-29,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-30,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-07-31,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-08-01,False,False,True,0,False,False,0.0,False,False,False,False,False
2024-08-02,False,False,True,1,False,False,0.14285714285714285,False,False,False,False,False
2024-08-05,False,False,False,1,False,False,0.14285714285714285,False,False,False,False,False
2024-08-06,False,False,False,0,False,False,0.0,False,False,False,False,False
2024-08-07,False,False,False,1,False,False,0.14285714285714285,False,False,False,False,False
