timestamp,APLD.US,ARM.US,IONQ.US,MU.US,SPY.US,TSLA.US
2024-08-01 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0
